"カテゴリ","title","所在及び住居表示","令和4年価格及び対前年変動率","地積","形状","前面道路状況","利用状況","周辺の土地の利用状況","交通施設","用途地域（建ぺい率／容積率）","防火・準防火地域","令和3年価格及び対前年変動率","令和2年価格及び対前年変動率","平成31年価格及び対前年変動率","平成30年価格及び対前年変動率","平成29年価格及び対前年変動率","平成28年価格及び対前年変動率","平成27年価格及び対前年変動率","平成26年価格及び対前年変動率","平成25年価格及び対前年変動率","lng","lat","分類"
"地価公示(基準日 R4.1.1)","城東-11","大阪市城東区蒲生２－７－４４","254,000円/㎡、1.6%","192㎡","台形1:1.2","南 7.5m 市道 東側道","事務所兼住宅　鉄骨造5F","事務所兼住宅に共同住宅等が混在する住宅地域","京橋 480m","準工業地域 (60/300)","準防火地域","250,000円/㎡、0.8%","248,000円/㎡、2.5％","242,000円/㎡、2.1％","237,000円/㎡、0.0％","237,000円/㎡、0.0％","237,000円/㎡ 0.4％","236,000円/㎡ 0.4%","235,000円/㎡ 0.0%","235,000円/㎡ -0.4%","135.539236344681","34.6985299252334","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","西淀川9-01","大阪市西淀川区福町１－６－３６","126,000円/㎡、1.6%","1652㎡","1.5:1","南東 19m 市道 北東側道","倉庫　鉄骨造1F","中小規模の工場等が建ち並ぶ既成工業地域","福 550m","工業地域 (60/200)","-","124,000円/㎡、-0.8%","125,000円/㎡、0.0％","125,000円/㎡、0.0％","125,000円/㎡、0.0％","125,000円/㎡、0.0％","125,000円/㎡ 0.0％","125,000円/㎡ -0.8%","126,000円/㎡ -0.8%","127,000円/㎡ -1.6%","135.447060798628","34.6979331891549","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北5-27","大阪市北区曽根崎新地２－３－３","2,640,000円/㎡、-0.8%","263㎡","1:1.2","北 40m 国道 背面道","店舗兼事務所　鉄骨鉄筋コンクリート造9F1BF","中高層の事務所ビルが建ち並ぶ商業地域","西梅田 140m","商業地域 (80/800)","防火地域","2,660,000円/㎡、-3.3%","2,750,000円/㎡、15.5％","2,380,000円/㎡、11.7％","2,130,000円/㎡、12.7％","1,890,000円/㎡、14.5％","1,650,000円/㎡ 12.2％","1,470,000円/㎡ 4.3%","1,410,000円/㎡ 6.0%","1,330,000円/㎡ 1.5%","135.494169146497","34.6978609844848","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","都島5-03","大阪市都島区東野田町１－２０－５","516,000円/㎡、1.0%","799㎡","1:1","北 22m 国道 背面道","店舗兼事務所　鉄筋コンクリート造5F","中層の店舗兼事務所等が建ち並ぶ商業地域","ＯｓａｋａＭｅｔｒｏ京橋 300m","商業地域 (80/400)","防火地域","511,000円/㎡、0.0%","511,000円/㎡、4.7％","488,000円/㎡、4.7％","466,000円/㎡、3.1％","452,000円/㎡、1.8％","444,000円/㎡ 2.3％","434,000円/㎡ 2.1%","425,000円/㎡ 0.7%","422,000円/㎡ 0.0%","135.527606062816","34.6973420449709","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北5-22","大阪市北区東天満１－７－１７","1,320,000円/㎡、0.0%","249㎡","不整形1:1.2","北 40m 国道","店舗兼事務所　鉄骨鉄筋コンクリート造10F","中高層の事務所ビル等が建ち並ぶ商業地域","大阪天満宮 140m","商業地域 (80/800)","防火地域","1,320,000円/㎡、-2.9%","1,360,000円/㎡、18.3％","1,150,000円/㎡、17.3％","980,000円/㎡、15.7％","847,000円/㎡、12.6％","752,000円/㎡ 5.9％","710,000円/㎡ 5.2%","675,000円/㎡ 3.8%","650,000円/㎡ 0.0%","135.515513142317","34.6969612352885","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北5-08","大阪市北区西天満４－１２－２","996,000円/㎡、-1.4%","232㎡","不整形1:2.5","南 6m 市道","店舗兼事務所　鉄筋コンクリート造7F1BF","中高層の店舗、事務所ビルが建ち並ぶ商業地域","東梅田 550m","商業地域 (80/400)","防火地域","1,010,000円/㎡、-3.8%","1,050,000円/㎡、11.1％","945,000円/㎡、11.8％","845,000円/㎡、8.2％","781,000円/㎡、8.3％","721,000円/㎡ 8.7％","663,000円/㎡ 4.6%","634,000円/㎡ 1.6%","624,000円/㎡ 1.0%","135.502677882304","34.6968792348738","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","都島5-01","大阪市都島区東野田町２－２－３","645,000円/㎡、0.0%","257㎡","1:1","西 11m 市道","店舗兼事務所　鉄骨造5F","中高層の店舗兼事務所が建ち並ぶ駅前の商業地域","ＯｓａｋａＭｅｔｒｏ京橋 80m","商業地域 (80/600)","防火地域","645,000円/㎡、-1.5%","655,000円/㎡、6.7％","614,000円/㎡、5.9％","580,000円/㎡、4.1％","557,000円/㎡、3.0％","541,000円/㎡ 3.0％","525,000円/㎡ 2.9%","510,000円/㎡ 1.4%","503,000円/㎡ 0.0%","135.5305381934","34.6967667843533","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","鶴見9-01","大阪市鶴見区鶴見１－６－９３","153,000円/㎡、1.3%","1660㎡","台形1:2","南東 6m 市道","事務所兼倉庫　鉄骨造1F","中小規模工場、倉庫等が建ち並ぶ工業地域","横堤 800m","工業地域 (60/200)","-","151,000円/㎡、0.0%","151,000円/㎡、1.3％","149,000円/㎡、1.4％","147,000円/㎡、1.4％","145,000円/㎡、0.7％","144,000円/㎡ 0.0％","144,000円/㎡ 0.0%","144,000円/㎡ -0.7%","145,000円/㎡ -","135.568529442099","34.6971267478197","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北5-26","大阪市北区堂島１－２－９","1,580,000円/㎡、-2.5%","562㎡","1:3","南 7.3m 市道","事務所　鉄筋コンクリート造6F2BF","中高層の店舗、事務所ビルの建ち並ぶ商業地域","北新地 380m","商業地域 (80/500)","防火地域","1,620,000円/㎡、-6.4%","1,730,000円/㎡、17.7％","1,470,000円/㎡、17.6％","1,250,000円/㎡、17.9％","1,060,000円/㎡、17.8％","900,000円/㎡ 11.2％","809,000円/㎡ 3.5%","782,000円/㎡ 0.0%","782,000円/㎡ -1.6%","135.498960179832","34.6963070811615","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","住之江9-02","大阪市住之江区南港中１－２－９０","107,000円/㎡、4.9%","58475㎡","1:2","北西 40m 道路 北東側道","倉庫　鉄骨造1F","大規模倉庫が多い臨海の工業地域","ポートタウン東 720m","準工業地域 (60/200)","準防火地域","102,000円/㎡、1.0%","101,000円/㎡、1.0％","100,000円/㎡、0.0％","100,000円/㎡、0.5％","99,500円/㎡、1.5％","98,000円/㎡ 3.2％","95,000円/㎡ 3.3%","92,000円/㎡ 3.4%","89,000円/㎡ -0.6%","135.430113106968","34.6259711692449","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北-03","大阪市北区紅梅町６－６","760,000円/㎡、4.4%","524㎡","1:1.2","南 8m 市道","共同住宅　鉄筋コンクリート造11F","中高層の共同住宅、事務所等が混在する住宅地域","南森町 350m","商業地域 (80/400)","準防火地域","728,000円/㎡、0.0%","728,000円/㎡、9.0％","668,000円/㎡、8.4％","616,000円/㎡、8.5％","568,000円/㎡、9.9％","51,700円/㎡0 7.9％","479,000円/㎡ 2.4%","468,000円/㎡ 2.0%","459,000円/㎡ 1.8%","135.512997249045","34.6995414789348","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","天王寺5-01","大阪市天王寺区上本町８－３－４","927,000円/㎡、0.0%","333㎡","1:2","東 27m 市道","事務所兼共同住宅　鉄骨鉄筋コンクリート造9F1BF","中高層の事務所、共同住宅が混在する商業地域","大阪上本町 590m","商業地域 (80/600)","防火地域","927,000円/㎡、-3.2%","958,000円/㎡、10.8％","865,000円/㎡、9.9％","787,000円/㎡、9.2％","721,000円/㎡、9.1％","661,000円/㎡ 8.2％","611,000円/㎡ 5.5%","579,000円/㎡ 8.6%","533,000円/㎡ 1.7%","135.518199690981","34.6607048694598","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","中央-03","大阪市中央区上町１－１５－１５","771,000円/㎡、6.5%","1672㎡","不整形2:1","南 8m 市道 東側道","共同住宅　鉄筋コンクリート造10F","中高層共同住宅のほか事務所も見られる住宅地域","玉造 550m","第二種住居地域 (80/300)","準防火地域","724,000円/㎡、1.4%","714,000円/㎡、9.8％","650,000円/㎡、12.1％","580,000円/㎡、5.5％","550,000円/㎡、5.0％","524,000円/㎡ 5.2％","498,000円/㎡ 5.3%","473,000円/㎡ 5.3%","449,000円/㎡ 2.0%","135.524978407339","34.6770945537068","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北-02","大阪市北区大淀南３－９－４","416,000円/㎡、0.2%","203㎡","1:2","南 8m 市道","住宅　鉄骨造2F","一般住宅、事務所等が混在する住宅地域","福島 770m","第二種住居地域 (80/300)","準防火地域","415,000円/㎡、0.0%","415,000円/㎡、3.5％","401,000円/㎡、3.4％","388,000円/㎡、3.5％","375,000円/㎡、3.3％","363,000円/㎡ 3.4％","351,000円/㎡ 3.2%","340,000円/㎡ 3.3%","329,000円/㎡ 1.5%","135.481385844531","34.7014190606053","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","中央5-29","大阪市中央区城見２－２－６","1,220,000円/㎡、-0.8%","6672㎡","1:2","南 36m 市道 西側道","事務所　鉄骨鉄筋コンクリート造8F1BF","大規模の高層事務所ビルが建ち並ぶ商業地域","大阪ビジネスパーク 230m","商業地域 (80/400)","防火地域","1,230,000円/㎡、-2.4%","1,260,000円/㎡、9.6％","1,150,000円/㎡、10.6％","1,040,000円/㎡、10.6％","940,000円/㎡、13.3％","830,000円/㎡ 13.7％","730,000円/㎡ 3.3%","707,000円/㎡ -0.1%","708,000円/㎡ -2.9%","135.532373638267","34.6929860000184","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","都島5-02","大阪市都島区片町１－２－８","500,000円/㎡、2.9%","309㎡","1:3","北 27m 府道 背面道","店舗兼共同住宅　鉄筋コンクリート造10F","店舗兼共同住宅、事業所等が見られる商業地域","大阪城北詰 70m","商業地域 (80/400)","防火地域","486,000円/㎡、0.0%","486,000円/㎡、4.1％","467,000円/㎡、4.0％","449,000円/㎡、3.0％","436,000円/㎡、1.9％","428,000円/㎡ 1.9％","420,000円/㎡ 1.9%","412,000円/㎡ 0.0%","412,000円/㎡ 0.0%","135.527154895034","34.6933283711677","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","福島5-02","大阪市福島区吉野３－２７－１４","732,000円/㎡、0.0%","119㎡","1.2:1","北西 40m 市道","事務所兼店舗　鉄骨造6F","中低層の事務所、店舗等が建ち並ぶ商業地域","野田阪神 150m","商業地域 (80/400)","防火地域","732,000円/㎡、-2.4%","750,000円/㎡、13.5％","661,000円/㎡、12.6％","587,000円/㎡、12.9％","520,000円/㎡、11.3％","467,000円/㎡ 6.1％","440,000円/㎡ 3.3%","426,000円/㎡ 4.7%","407,000円/㎡ 1.0%","135.4741137712","34.6926261211126","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","福島5-01","大阪市福島区吉野２－１０－２０","312,000円/㎡、-1.0%","97㎡","1:5.5","東 7m 市道","店舗　木造2F","小規模な小売店舗が建ち並ぶ駅前の商業地域","野田阪神 150m","商業地域 (80/400)","準防火地域","315,000円/㎡、-2.2%","322,000円/㎡、2.2％","315,000円/㎡、1.9％","309,000円/㎡、2.7％","301,000円/㎡、2.4％","294,000円/㎡ 1.7％","289,000円/㎡ 1.4%","285,000円/㎡ 1.4%","281,000円/㎡ 1.4%","135.475493300125","34.6922317695039","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北5-15","大阪市北区大淀南１－１０－９","1,220,000円/㎡、0.0%","241㎡","1:2.5","西 30m 府道","事務所　鉄骨鉄筋コンクリート造9F1BF","中高層の事務所ビル等が多い商業地域","福島 520m","商業地域 (80/600)","防火地域","1,220,000円/㎡、-0.8%","1,230,000円/㎡、16.0％","1,060,000円/㎡、13.4％","935,000円/㎡、13.2％","826,000円/㎡、13.8％","726,000円/㎡ 14.3％","635,000円/㎡ 9.1%","582,000円/㎡ 10.2%","528,000円/㎡ 1.9%","135.487598302177","34.7021476655652","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","港-04","大阪市港区港晴３－１４－４","210,000円/㎡、0.0%","111㎡","1:1.5","南東 6m 市道","住宅　木造3F","住宅の中に店舗等が見られる住宅地域","朝潮橋 660m","第一種住居地域 (80/200)","準防火地域","210,000円/㎡、-0.9%","212,000円/㎡、0.5％","211,000円/㎡、0.0％","211,000円/㎡、-0.5％","212,000円/㎡、-0.5％","213,000円/㎡ -0.5％","214,000円/㎡ -0.5%","215,000円/㎡ -0.5%","216,000円/㎡ -1.4%","135.442288598142","34.6582302403038","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東淀川-04","大阪市東淀川区井高野３－３－１７","159,000円/㎡、0.6%","100㎡","1:1.2","南西 6m 市道","住宅　木造2F","中小規模一般住宅に公営住宅も見られる住宅地域","井高野 900m","第二種中高層住居専用地域 (60/200)","準防火地域","158,000円/㎡、0.0%","158,000円/㎡、0.0％","158,000円/㎡、0.0％","158,000円/㎡、0.0％","158,000円/㎡、0.0％","158,000円/㎡ 0.0％","158,000円/㎡ 0.0%","158,000円/㎡ 0.0%","158,000円/㎡ -0.6%","135.544464777669","34.7664237863211","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東淀川-02","大阪市東淀川区北江口４－１８－１２","194,000円/㎡、0.0%","259㎡","1:1.5","東 6m 市道","住宅　木造2F","中規模一般住宅が建ち並ぶ閑静な住宅地域","井高野 200m","第一種住居地域 (80/200)","準防火地域","194,000円/㎡、0.0%","194,000円/㎡、0.0％","194,000円/㎡、0.0％","194,000円/㎡、0.0％","194,000円/㎡、0.0％","194,000円/㎡ 0.0％","194,000円/㎡ 0.0%","194,000円/㎡ 0.0%","194,000円/㎡ 0.0%","135.548611242025","34.7607540202899","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東淀川5-04","大阪市東淀川区相川２－２０－９","245,000円/㎡、0.0%","83㎡","不整形1:2","南 11m 市道","事務所兼住宅　鉄骨造4F","店舗併用住宅等が建ち並ぶ駅前の商業地域","相川 50m","近隣商業地域 (80/300)","準防火地域","245,000円/㎡、0.0%","245,000円/㎡、0.0％","245,000円/㎡、0.0％","245,000円/㎡、0.0％","245,000円/㎡、0.0％","245,000円/㎡ 0.0％","245,000円/㎡ 0.0%","245,000円/㎡ 0.0%","245,000円/㎡ -1.2%","135.534300183872","34.7581550819544","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東淀川-08","大阪市東淀川区相川３丁目１番２９","204,000円/㎡、0.5%","73㎡","1:1.5","北 5.5m 市道","取壊中","小規模一般住宅、アパート等が混在する住宅地域","相川 380m","第二種中高層住居専用地域 (60/200)","準防火地域","203,000円/㎡、0.0%","203,000円/㎡、0.0％","203,000円/㎡、0.0％","203,000円/㎡、0.0％","203,000円/㎡、0.0％","203,000円/㎡ 0.0％","203,000円/㎡ 0.0%","203,000円/㎡ 0.0%","203,000円/㎡ -0.5%","135.537667765443","34.7574359899798","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東淀川-05","大阪市東淀川区瑞光２－７－１４","220,000円/㎡、0.5%","156㎡","台形1:2","東 8m 市道","住宅　鉄筋コンクリート造2F","小規模一般住宅が多く事業所も見られる住宅地域","上新庄 700m","第一種住居地域 (80/200)","準防火地域","219,000円/㎡、0.0%","219,000円/㎡、0.0％","219,000円/㎡、0.0％","219,000円/㎡、0.0％","219,000円/㎡、0.0％","219,000円/㎡ 0.0％","219,000円/㎡ 0.0%","219,000円/㎡ 0.0%","219,000円/㎡ -0.5%","135.53951530263","34.7504555388904","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東淀川5-03","大阪市東淀川区瑞光１－２－３","328,000円/㎡、0.0%","148㎡","1:1.2","西 15m 市道","店舗兼事務所　鉄筋コンクリート造6F","中層の店舗、事務所等が建ち並ぶ駅前の商業地域","上新庄 60m","商業地域 (80/400)","準防火地域","328,000円/㎡、0.0%","328,000円/㎡、0.9％","325,000円/㎡、0.9％","322,000円/㎡、0.9％","319,000円/㎡、0.6％","317,000円/㎡ 0.6％","315,000円/㎡ 0.0%","315,000円/㎡ 0.3%","314,000円/㎡ -0.6%","135.533371424085","34.747862578151","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東淀川-12","大阪市東淀川区大桐２－１７－２０","187,000円/㎡、0.5%","70㎡","1:1.5","北東 6m 市道","住宅　木造3F","中小規模一般住宅が建ち並ぶ住宅地域","だいどう豊里 600m","第二種中高層住居専用地域 (60/200)","準防火地域","186,000円/㎡、0.0%","186,000円/㎡、0.0％","186,000円/㎡、0.0％","186,000円/㎡、0.0％","186,000円/㎡、0.0％","186,000円/㎡ 0.0％","186,000円/㎡ 0.0%","186,000円/㎡ 0.0%","186,000円/㎡ -1.1%","135.54430013765","34.7473559546414","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","淀川-04","大阪市淀川区十八条３－８－２","177,000円/㎡、0.6%","61㎡","1:1","南東 6.5m 市道","住宅　木造2F","一般住宅、共同住宅、駐車場が混在する住宅地域","三国 1200m","第一種住居地域 (80/200)","準防火地域","176,000円/㎡、0.0%","176,000円/㎡、0.0％","176,000円/㎡、0.0％","176,000円/㎡、0.0％","176,000円/㎡、0.0％","176,000円/㎡ 0.0％","176,000円/㎡ 0.0%","176,000円/㎡ 0.0%","176,000円/㎡ -0.6%","135.489957868106","34.746422798055","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東淀川-09","大阪市東淀川区下新庄６－２－１７","184,000円/㎡、0.5%","154㎡","1:1","北東 4m 市道","住宅　軽量鉄骨造2F","アパート、工場等が混在する住宅地域","下新庄 450m","準工業地域 (60/200)","準防火地域","183,000円/㎡、0.0%","183,000円/㎡、0.0％","183,000円/㎡、0.5％","182,000円/㎡、0.0％","182,000円/㎡、0.0％","182,000円/㎡ 0.0％","182,000円/㎡ 0.0%","182,000円/㎡ -0.5%","183,000円/㎡ -1.1%","135.524244852611","34.7464145226061","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東淀川-14","大阪市東淀川区豊里７－２８－１５","210,000円/㎡、0.5%","101㎡","1:3","北 8m 市道","住宅　木造2F","一般住宅のほか駐車場等が混在する住宅地域","上新庄 1100m","第二種中高層住居専用地域 (60/200)","準防火地域","209,000円/㎡、0.0%","209,000円/㎡、0.5％","208,000円/㎡、1.0％","206,000円/㎡、0.0％","206,000円/㎡、0.0％","206,000円/㎡ 0.0％","206,000円/㎡ 0.0%","206,000円/㎡ 0.0%","206,000円/㎡ -1.0%","135.540809011513","34.7452835128843","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","中央5-40","大阪市中央区本町３－２－８","3,090,000円/㎡、-1.3%","539㎡","1:2","北 21.8m 市道","事務所　鉄骨鉄筋コンクリート造9F1BF","中高層の事務所ビル等が建ち並ぶ中心的商業地域","本町 200m","商業地域 (80/800)","防火地域","3,130,000円/㎡、-1.9%","3,190,000円/㎡、17.7％","2,710,000円/㎡、12.0％","2,420,000円/㎡、11.0％","2,180,000円/㎡、11.8％","1,950,000円/㎡ 7.1％","1,820,000円/㎡ 3.4%","1,760,000円/㎡ 4.8%","1,680,000円/㎡ -1.8%","135.503016784697","34.6833144084884","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","住之江9-03","大阪市住之江区新北島４－４－６３","149,000円/㎡、0.0%","413㎡","1:1","北東 12m 市道","作業場、事務所兼倉庫　鉄骨造4F","中小規模工場、共同住宅等が混在する工業地域","住之江公園 720m","準工業地域 (60/200)","準防火地域","149,000円/㎡、-0.7%","150,000円/㎡、0.0％","150,000円/㎡、0.0％","150,000円/㎡、0.0％","150,000円/㎡、0.0％","150,000円/㎡ 0.0％","150,000円/㎡ 0.0%","150,000円/㎡ -0.7%","151,000円/㎡ -1.3%","135.469002446464","34.6041902721591","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","住之江-01","大阪市住之江区西住之江２－１１－２７","222,000円/㎡、0.0%","211㎡","1:2","北 7.3m 市道","住宅　木造2F","中規模一般住宅、共同住宅等が多い住宅地域","住ノ江 260m","第二種中高層住居専用地域 (60/200)","準防火地域","222,000円/㎡、0.0%","222,000円/㎡、0.0％","222,000円/㎡、0.5％","221,000円/㎡、0.0％","221,000円/㎡、0.0％","221,000円/㎡ 0.0％","221,000円/㎡ 0.0%","221,000円/㎡ -0.5%","222,000円/㎡ -1.3%","135.485486474377","34.602688019203","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","住吉-03","大阪市住吉区我孫子２－８－１０","254,000円/㎡、0.4%","637㎡","不整形1:1.5","南西 15m 市道","共同住宅　鉄筋コンクリート造6F","中層のマンション等が建ち並ぶ共同住宅地域","我孫子町 320m","第二種中高層住居専用地域 (60/200)","準防火地域","253,000円/㎡、0.0%","253,000円/㎡、0.8％","251,000円/㎡、0.8％","249,000円/㎡、0.4％","248,000円/㎡、0.8％","246,000円/㎡ 1.2％","243,000円/㎡ 1.3%","240,000円/㎡ 0.0%","240,000円/㎡ -","135.509087535615","34.6029434017744","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","住之江-05","大阪市住之江区北島３－６－１７","179,000円/㎡、0.0%","78㎡","1:2","西 4.6m 私道","住宅　軽量鉄骨造3F","中小規模の一般住宅が建ち並ぶ住宅地域","住之江公園 1000m","第一種住居地域 (80/200)","準防火地域","179,000円/㎡、-0.6%","180,000円/㎡、0.0％","180,000円/㎡、0.0％","180,000円/㎡、0.0％","180,000円/㎡、0.0％","180,000円/㎡ 0.0％","180,000円/㎡ -0.6%","181,000円/㎡ -0.5%","182,000円/㎡ -1.1%","135.476514440227","34.6017226032212","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","平野-07","大阪市平野区長吉長原４－９－３９","174,000円/㎡、0.0%","169㎡","1:1.5","西 7m 市道","住宅　鉄筋コンクリート造3F","一般住宅の中にマンション等が見られる住宅地域","長原 330m","第一種住居地域 (80/200)","準防火地域","174,000円/㎡、-0.6%","175,000円/㎡、0.0％","175,000円/㎡、0.0％","175,000円/㎡、0.0％","175,000円/㎡、0.0％","175,000円/㎡ 0.0％","175,000円/㎡ -0.6%","176,000円/㎡ -0.6%","177,000円/㎡ -1.7%","135.5704811504","34.6015079489099","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","住吉5-01","大阪市住吉区苅田５－１９－１９","546,000円/㎡、-0.2%","406㎡","1:1.5","西 36m 府道","店舗兼住宅　鉄筋コンクリート造5F","中層の店舗併用住宅等が集まる駅前の商業地域","あびこ 近接","商業地域 (80/400)","防火地域","547,000円/㎡、-0.9%","552,000円/㎡、5.1％","525,000円/㎡、3.1％","509,000円/㎡、3.0％","494,000円/㎡、4.0％","475,000円/㎡ 4.6％","454,000円/㎡ 3.4%","439,000円/㎡ 2.1%","430,000円/㎡ 0.0%","135.513178941379","34.5999081525909","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東住吉-13","大阪市東住吉区住道矢田４－１７－１２","99,000円/㎡、-2.9%","113㎡","1:2","東 4.5m 道路","住宅　木造2F","小規模住宅、アパート、作業場等混在の住宅地域","矢田 1300m","第一種住居地域 (80/200)","準防火地域","102,000円/㎡、-2.9%","105,000円/㎡、-2.8％","108,000円/㎡、-1.8％","110,000円/㎡、-0.9％","111,000円/㎡、-1.8％","113,000円/㎡ -1.7％","115,000円/㎡ -1.7%","117,000円/㎡ -1.7%","119,000円/㎡ -3.3%","135.539557545054","34.599970324214","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北5-04","大阪市北区堂島２－３－２","1,440,000円/㎡、0.0%","603㎡","1:1.2","南 7.3m 市道","店舗兼事務所　鉄筋コンクリート造8F1BF","中高層ビルの事務所、店舗が建ち並ぶ商業地域","西梅田 370m","商業地域 (80/600)","防火地域","1,440,000円/㎡、-2.7%","1,480,000円/㎡、15.6％","1,280,000円/㎡、17.4％","1,090,000円/㎡、16.5％","936,000円/㎡、15.8％","808,000円/㎡ 12.1％","721,000円/㎡ 7.9%","668,000円/㎡ 7.9%","619,000円/㎡ 1.5%","135.493506150045","34.6965038125011","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東住吉-07","大阪市東住吉区駒川１－１５－１１","262,000円/㎡、0.4%","130㎡","1:2","北 6m 市道","住宅　木造2F","一般住宅、アパート等が混在する住宅地域","北田辺 250m","第一種住居地域 (80/200)","準防火地域","261,000円/㎡、0.0%","261,000円/㎡、0.4％","260,000円/㎡、0.4％","259,000円/㎡、0.4％","258,000円/㎡、0.8％","256,000円/㎡ 0.8％","254,000円/㎡ 0.0%","254,000円/㎡ 0.0%","254,000円/㎡ -0.8%","135.53114011614","34.632017917029","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","西成9-03","大阪市西成区南津守３－２－２１","137,000円/㎡、0.7%","330㎡","1:4","東 8m 市道 背面道","工場","中小規模工場のほか、住宅等も混在する工業地域","岸里 1000m","準工業地域 (60/200)","準防火地域","136,000円/㎡、0.0%","136,000円/㎡、0.0％","136,000円/㎡、0.0％","136,000円/㎡、0.0％","136,000円/㎡、-0.7％","137,000円/㎡ -0.7％","138,000円/㎡ -1.4%","140,000円/㎡ -1.4%","142,000円/㎡ -2.1%","135.484785542488","34.6316833694408","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","西成-05","大阪市西成区岸里３－３－５","215,000円/㎡、0.5%","99㎡","1:2","東 8m 市道","住宅　木造2F","一般住宅、マンション等が混在する住宅地域","岸里玉出 240m","第一種住居地域 (80/300)","準防火地域","214,000円/㎡、0.0%","214,000円/㎡、3.4％","207,000円/㎡、1.0％","205,000円/㎡、0.5％","204,000円/㎡、0.0％","204,000円/㎡ 0.0％","204,000円/㎡ -0.5%","205,000円/㎡ -1.0%","207,000円/㎡ -1.9%","135.493262841876","34.6309569977511","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","平野-09","大阪市平野区西脇１－６－７","189,000円/㎡、0.0%","186㎡","1:1.5","北 6m 市道","倉庫兼住宅　鉄骨造3F","一般住宅、倉庫、作業所等が混在する住宅地域","平野 800m","準工業地域 (60/200)","準防火地域","189,000円/㎡、-0.5%","190,000円/㎡、0.0％","190,000円/㎡、0.0％","190,000円/㎡、0.0％","190,000円/㎡、0.0％","190,000円/㎡ 0.0％","190,000円/㎡ -1.0%","192,000円/㎡ -1.0%","194,000円/㎡ -1.0%","135.544361280644","34.6309807530806","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","西成9-02","大阪市西成区南津守５－９－７","83,000円/㎡、2.1%","139㎡","1:2","南東 8m 市道","工場、倉庫兼事務所","中小規模の工場が建ち並ぶ工業団地","北加賀屋 1300m","工業専用地域 (60/200)","-","81,300円/㎡、0.0%","81,300円/㎡、0.0％","81,300円/㎡、0.0％","81,300円/㎡、0.0％","81,300円/㎡、-0.2％","81,500円/㎡ -0.6％","82,000円/㎡ -1.2%","83,000円/㎡ -1.5%","84,300円/㎡ -2.5%","135.478028589647","34.6300915427593","地価公示(基準日 R4.1.1)"
