"カテゴリ","title","所在及び住居表示","令和4年価格及び対前年変動率","地積","形状","前面道路状況","利用状況","周辺の土地の利用状況","交通施設","用途地域（建ぺい率／容積率）","防火・準防火地域","令和3年価格及び対前年変動率","令和2年価格及び対前年変動率","平成31年価格及び対前年変動率","平成30年価格及び対前年変動率","平成29年価格及び対前年変動率","平成28年価格及び対前年変動率","平成27年価格及び対前年変動率","平成26年価格及び対前年変動率","平成25年価格及び対前年変動率","lng","lat","分類"
"地価公示(基準日 R4.1.1)","此花9-01","大阪市此花区北港白津１－６－１０","85,000円/㎡、6.8%","20056㎡","2:1","東 20m 道路 三方路","倉庫　鉄骨造4F","大規模物流センターが多い臨海部の工業地域","桜島 3500m","準工業地域 (60/300)","準防火地域","79,600円/㎡、1.0%","78,800円/㎡、1.0％","78,000円/㎡、0.0％","78,000円/㎡、0.0％","77,700円/㎡、0.9％","77,000円/㎡ 2.7％","75,000円/㎡ 2.2%","73,400円/㎡ 1.9%","72,000円/㎡ -","135.404518445642","34.6625347583033","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","福島-01","大阪市福島区玉川２－５－３","318,000円/㎡、1.0%","108㎡","1:3","南 4m 市道","住宅　軽量鉄骨造2F","一般住宅の中に小売店舗等が見られる住宅地域","玉川 450m","第二種住居地域 (80/300)","準防火地域","315,000円/㎡、2.9%","306,000円/㎡、4.1％","294,000円/㎡、2.8％","286,000円/㎡、2.5％","279,000円/㎡、2.2％","273,000円/㎡ 1.5％","269,000円/㎡ 1.9%","264,000円/㎡ 1.5%","260,000円/㎡ 1.6%","135.480377821516","34.6908190990562","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","福島5-03","大阪市福島区福島６－２０－２","1,000,000円/㎡、0.0%","559㎡","1:1.5","南 8m 市道","店舗兼共同住宅　鉄骨鉄筋コンクリート造11F","中高層の店舗付共同住宅等が建ち並ぶ商業地域","福島 530m","商業地域 (80/400)","準防火地域","1,000,000円/㎡、-2.0%","1,020,000円/㎡、14.7％","889,000円/㎡、14％","780,000円/㎡、17.3％","665,000円/㎡、14.7％","580,000円/㎡ 14.6％","506,000円/㎡ 7.2%","472,000円/㎡ 11.1%","425,000円/㎡ 1.9%","135.48830925712","34.7013113309752","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","都島-01","大阪市都島区毛馬町５－６－２４","195,000円/㎡、0.5%","185㎡","1:1.5","南東 6m 市道","住宅　軽量鉄骨造2F","住宅、マンション、倉庫等が混在する住宅地域","城北公園通 750m","第二種中高層住居専用地域 (60/200)","準防火地域","194,000円/㎡、0.5%","193,000円/㎡、0.5％","192,000円/㎡、0.5％","191,000円/㎡、0.0％","191,000円/㎡、0.0％","191,000円/㎡ 0.0％","191,000円/㎡ 0.0%","191,000円/㎡ -0.5%","192,000円/㎡ -0.5%","135.524689214454","34.7250203721585","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北5-10","大阪市北区万歳町３－１６","1,540,000円/㎡、0.0%","228㎡","台形1:1.5","北西 31m 市道 南側道","事務所　鉄骨鉄筋コンクリート造8F","中高層の事務所、店舗ビルが建ち並ぶ商業地域","中崎町 150m","商業地域 (80/600)","防火地域","1,540,000円/㎡、-4.3%","1,610,000円/㎡、13.4％","1,420,000円/㎡、13.6％","1,250,000円/㎡、13.6％","1,100,000円/㎡、11.4％","987,000円/㎡ 9.7％","900,000円/㎡ 8.2%","832,000円/㎡ 4.0%","800,000円/㎡ 0.9%","135.503196904392","34.70492566485","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","中央5-07","大阪市中央区久太郎町２－４－２７","2,100,000円/㎡、-0.9%","878㎡","1:2","北 79.4m 市道","事務所　鉄骨鉄筋コンクリート造10F2BF","高層の店舗、事務所ビルが建ち並ぶ商業地域","堺筋本町 90m","商業地域 (80/1000)","防火地域","2,120,000円/㎡、-3.6%","2,200,000円/㎡、12.8％","1,950,000円/㎡、12.7％","1,730,000円/㎡、13.8％","1,520,000円/㎡、16.0％","1,310,000円/㎡ 12.9％","1,160,000円/㎡ 2.7%","1,130,000円/㎡ 2.7%","1,100,000円/㎡ -0.9%","135.504879511469","34.6813348619508","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","中央5-10","大阪市中央区北久宝寺町２－５－９","1,040,000円/㎡、-1.0%","1003㎡","1:1.5","南 7.8m 市道","事務所兼店舗　鉄骨鉄筋コンクリート造11F2BF","中高層の事務所、店舗ビルが建ち並ぶ商業地域","堺筋本町 340m","商業地域 (80/600)","防火地域","1,050,000円/㎡、-6.3%","1,120,000円/㎡、15.5％","970,000円/㎡、12.8％","860,000円/㎡、13.5％","758,000円/㎡、14.8％","660,000円/㎡ 8.4％","609,000円/㎡ 5.4%","578,000円/㎡ 8.4%","533,000円/㎡ 0.0%","135.503891929631","34.6801867124563","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","西5-16","大阪市西区北堀江２－４－４","1,520,000円/㎡、-0.7%","202㎡","1:1.2","東 40m 府道","事務所、倉庫兼住宅　鉄筋コンクリート造7F","高層事務所ビル、共同住宅等が混在する商業地域","西大橋 250m","商業地域 (80/800)","防火地域","1,530,000円/㎡、-5.0%","1,610,000円/㎡、28.8％","1,250,000円/㎡、14.7％","1,090,000円/㎡、14.3％","954,000円/㎡、14.7％","832,000円/㎡ 15.2％","722,000円/㎡ 6.0%","681,000円/㎡ 10.0%","619,000円/㎡ 1.5%","135.492710492887","34.6731266146956","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","浪速5-01","大阪市浪速区元町３－１－４","970,000円/㎡、-1.0%","849㎡","不整形1:1.2","東 40m 国道 南側道","事務所、共同住宅兼店舗　鉄骨鉄筋コンクリート造8F","中高層の店舗、事務所ビル等が建ち並ぶ商業地域","大国町 400m","商業地域 (80/600)","防火地域","980,000円/㎡、-6.7%","1,050,000円/㎡、23.5％","850,000円/㎡、25.0％","680,000円/㎡、17.9％","577,000円/㎡、14.9％","502,000円/㎡ 10.1％","456,000円/㎡ 2.5%","445,000円/㎡ 2.3%","435,000円/㎡ 0.9%","135.49745911759","34.6605040004811","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","西淀川5-02","大阪市西淀川区千舟１－１－２３","293,000円/㎡、0.0%","81㎡","1:2","北東 27m 国道","店舗兼事務所　鉄筋コンクリート造4F","銀行、事務所ビルが多い駅に近い商業地域","御幣島 250m","商業地域 (80/400)","防火地域","293,000円/㎡、-1.0%","296,000円/㎡、2.1％","290,000円/㎡、1.4％","286,000円/㎡、1.1％","283,000円/㎡、1.1％","280,000円/㎡ 0.0％","280,000円/㎡ 0.0%","280,000円/㎡ -0.7%","282,000円/㎡ -1.4%","135.455855554632","34.7102113382419","地価公示(基準日 R4.1.1)"
